server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-hp47.hci.bri.co.id,67.84658959537573,68.23,63.21,72.83,100.0,8.649310057126504,55.03849710982659,54.91,51.49,57.85,77.17,5.175937062250209,1.0,173,0.12748334306424772,0.09404212204272008,1.4739134361267257,1.4021095061155304,9.619999999999997,6.359999999999999,0
gti-com-hp48.hci.bri.co.id,49.86895953757225,50.12,43.99,54.74,92.01,8.842309039142553,47.4049710982659,47.75,44.57,50.14,70.57,4.790044499511395,1.0,173,0.17731087877381085,0.10104519396461814,1.8450354860657934,1.4886624411966256,10.75,5.57,1
gti-com-hp49.hci.bri.co.id,39.274335260115606,39.49,34.1,44.33,62.68,7.406492456949791,44.28017341040463,44.21,40.57,47.93,66.56,4.92213811004985,1.0,173,0.18858352172980838,0.11115896192252223,1.5959531736149746,1.503155811588584,10.229999999999997,7.359999999999999,1
gti-com-hp50.hci.bri.co.id,54.32254335260115,54.56,49.06,59.85,86.49,8.153126622732367,71.40699421965317,71.96,67.47,74.94,100.0,6.333036413528874,1.0,173,0.15008735084090954,0.08868930113551605,1.5921566749664815,1.4004230410874408,10.79,7.469999999999999,0
gti-com-hp51.hci.bri.co.id,57.73647398843931,56.72,50.45,63.17,100.0,10.980065591877665,76.95306358381502,77.44,72.3,81.43,100.0,6.7281470877430785,1.0,173,0.19017554819984722,0.08743182888898215,1.7320073965726277,1.299493422910745,12.719999999999999,9.13000000000001,0
gti-com-hp52.hci.bri.co.id,42.192543352601156,42.14,37.57,45.33,87.8,7.49926604196489,35.71485549132948,35.42,33.69,37.4,59.67,3.4905021640020237,1.0,173,0.17773913222755658,0.09773250139145644,2.0809364172777975,1.670733345525817,7.759999999999998,3.710000000000001,1
gti-com-hp53.hci.bri.co.id,2.2214450867052022,0.75,0.0,3.54,22.11,3.2259678002764516,1.747514450867052,0.52,0.0,3.1,9.5,2.2250647119069766,1.0,173,1.4521933580906718,1.2732739982796606,9.952980666649319,5.436292670018524,3.54,3.1,2
gti-com-hp54.hci.bri.co.id,30.900462427745662,30.79,25.68,35.69,77.25,7.576897092633581,67.39236994219652,66.76,63.16,71.75,100.0,6.557905724410353,1.0,173,0.24520335610998012,0.09730932047700905,2.499962587311861,1.483847505077675,10.009999999999998,8.590000000000003,4
gti-com-hp55.hci.bri.co.id,49.17693641618497,50.74,43.64,52.33,87.95,5.356615381991202,59.270173410404624,60.12,56.21,61.05,85.62,3.993414851860041,1.0,173,0.10892535754277381,0.06737646647679647,1.7884399966618123,1.444571444175491,8.689999999999998,4.839999999999996,0
gti-com-hp56.hci.bri.co.id,40.90086705202312,41.09,36.51,44.44,83.53,7.461416167229528,36.80601156069364,36.72,34.72,38.6,56.37,3.3921754595985716,1.0,173,0.18242684581085075,0.09216362533617166,2.0422549940996486,1.5315432889826994,7.93,3.8800000000000026,1
